date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:07:11	243/243	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Aug%202023%2018:07:11%20GMT	https://demo.dashboardpack.com/robots.txt		(from )
11:07:11	40667/40667	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:28:19%20GMT	https://demo.dashboardpack.com/architectui-html-free/	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/index.html	(from )
11:07:11	344346/344346	---MCZ	200	added ('OK')	text/css	etag:W/%22632db473-54be1%22	https://demo.dashboardpack.com/architectui-html-free/main.css	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/main.css	(from https://demo.dashboardpack.com/architectui-html-free/)
11:07:12	3374/3374	---M--	200	added ('OK')	image/jpeg	etag:%22632db46a-d2e%22	https://demo.dashboardpack.com/architectui-html-free/assets/images/avatars/1.jpg	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/assets/images/avatars/1.jpg	(from https://demo.dashboardpack.com/architectui-html-free/)
11:07:12	40667/40667	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:28:19%20GMT	https://demo.dashboardpack.com/architectui-html-free/index.html	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/index-2.html	(from https://demo.dashboardpack.com/architectui-html-free/)
11:07:13	30511/30511	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:28:16%20GMT	https://demo.dashboardpack.com/architectui-html-free/elements-buttons-standard.html	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/elements-buttons-standard.html	(from https://demo.dashboardpack.com/architectui-html-free/)
11:07:13	63101/63101	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:28:16%20GMT	https://demo.dashboardpack.com/architectui-html-free/elements-dropdowns.html	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/elements-dropdowns.html	(from https://demo.dashboardpack.com/architectui-html-free/)
11:07:13	160151/160151	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:28:17%20GMT	https://demo.dashboardpack.com/architectui-html-free/elements-icons.html	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/elements-icons.html	(from https://demo.dashboardpack.com/architectui-html-free/)
11:07:14	28083/28083	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:28:15%20GMT	https://demo.dashboardpack.com/architectui-html-free/elements-badges-labels.html	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/elements-badges-labels.html	(from https://demo.dashboardpack.com/architectui-html-free/)
11:07:14	31878/31878	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:28:16%20GMT	https://demo.dashboardpack.com/architectui-html-free/elements-cards.html	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/elements-cards.html	(from https://demo.dashboardpack.com/architectui-html-free/)
11:07:15	26935/26935	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:28:16%20GMT	https://demo.dashboardpack.com/architectui-html-free/elements-list-group.html	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/elements-list-group.html	(from https://demo.dashboardpack.com/architectui-html-free/)
11:07:15	31723/31723	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:28:17%20GMT	https://demo.dashboardpack.com/architectui-html-free/elements-navigation.html	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/elements-navigation.html	(from https://demo.dashboardpack.com/architectui-html-free/)
11:07:15	28814/28814	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:28:18%20GMT	https://demo.dashboardpack.com/architectui-html-free/elements-utilities.html	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/elements-utilities.html	(from https://demo.dashboardpack.com/architectui-html-free/)
11:07:16	50573/50573	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:28:14%20GMT	https://demo.dashboardpack.com/architectui-html-free/components-tabs.html	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/components-tabs.html	(from https://demo.dashboardpack.com/architectui-html-free/)
11:07:16	28486/28486	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:28:03%20GMT	https://demo.dashboardpack.com/architectui-html-free/components-accordions.html	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/components-accordions.html	(from https://demo.dashboardpack.com/architectui-html-free/)
11:07:17	33616/33616	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:28:05%20GMT	https://demo.dashboardpack.com/architectui-html-free/components-notifications.html	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/components-notifications.html	(from https://demo.dashboardpack.com/architectui-html-free/)
11:07:17	29694/29694	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:28:05%20GMT	https://demo.dashboardpack.com/architectui-html-free/components-modals.html	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/components-modals.html	(from https://demo.dashboardpack.com/architectui-html-free/)
11:07:17	34504/34504	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:28:14%20GMT	https://demo.dashboardpack.com/architectui-html-free/components-progress-bar.html	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/components-progress-bar.html	(from https://demo.dashboardpack.com/architectui-html-free/)
11:07:18	24533/24533	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:28:15%20GMT	https://demo.dashboardpack.com/architectui-html-free/components-tooltips-popovers.html	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/components-tooltips-popovers.html	(from https://demo.dashboardpack.com/architectui-html-free/)
11:07:18	25247/25247	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:28:03%20GMT	https://demo.dashboardpack.com/architectui-html-free/components-carousel.html	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/components-carousel.html	(from https://demo.dashboardpack.com/architectui-html-free/)
11:07:18	23744/23744	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:28:03%20GMT	https://demo.dashboardpack.com/architectui-html-free/components-calendar.html	C:/xampp/htdocs/architect/demo.dashboardpack.com/architectui-html-free/components-calendar.html	(from https://demo.dashboardpack.com/architectui-html-free/)
